date_month,breakdown,dimension,median_pepm,p90_pepm,p99_pepm,top_10_percent_median_pepm,top_1_percent_median_pepm,p99_winsorized_weighted_pepm
2026-06-01,Sector,Health care,2.6700,,,,,5.9800
2026-06-01,Sector,Manufacturing,7.9700,,,,,9.7100
2026-06-01,Sector,"Professional, scientific, and technical services",27.8300,,,,,63.9600
2026-06-01,Sector,Retail,8.0500,,,,,0.8600
2026-06-01,Sector,Technology and media,66.7100,,,,,152.8900
2026-07-01,Business size,Large,3.4100,,,,,92.1300
2026-07-01,Business size,Medium,9.2300,,,,,126.7300
2026-07-01,Business size,Small,22.2200,,,,,155.9400
2026-07-01,Financing status,Other,8.0000,,,,,9.0800
2026-07-01,Financing status,PE-backed,7.4100,,,,,11.8300
2026-07-01,Financing status,VC-backed,75.7100,,,,,361.5300
2026-07-01,Overall,,11.8800,263.0100,3797.5800,644.5800,7975.8400,26.1700
2026-07-01,Sector,Accommodation and food services,2.0000,,,,,1.1700
2026-07-01,Sector,Construction,4.1200,,,,,4.9200
2026-07-01,Sector,Finance and insurance,40.0000,,,,,23.3800
2026-07-01,Sector,Health care,2.8100,,,,,5.4700
2026-07-01,Sector,Manufacturing,8.8300,,,,,11.7000
2026-07-01,Sector,"Professional, scientific, and technical services",31.9900,,,,,106.0100
2026-07-01,Sector,Retail,8.6700,,,,,1.0400
2026-07-01,Sector,Technology and media,77.4700,,,,,205.6600
2026-08-01,Business size,Large,3.6800,,,,,82.7100
2026-08-01,Business size,Medium,9.3200,,,,,137.3300
2026-08-01,Business size,Small,23.2300,,,,,159.1200
2026-08-01,Financing status,Other,8.3300,,,,,4.5100
2026-08-01,Financing status,PE-backed,7.8600,,,,,13.3500
2026-08-01,Financing status,VC-backed,81.2000,,,,,312.7100
2026-08-01,Overall,,12.5000,279.9800,3768.5700,675.6000,7205.1300,13.7100
2026-08-01,Sector,Accommodation and food services,2.1900,,,,,1.3400
2026-08-01,Sector,Construction,4.6100,,,,,6.3000
2026-08-01,Sector,Finance and insurance,41.2400,,,,,2.3000
2026-08-01,Sector,Health care,2.8200,,,,,6.5400
2026-08-01,Sector,Manufacturing,9.8400,,,,,13.7500
2026-08-01,Sector,"Professional, scientific, and technical services",33.3300,,,,,98.8300
2026-08-01,Sector,Retail,9.6800,,,,,1.2500
2026-08-01,Sector,Technology and media,80.1500,,,,,178.8400
